id,title,genres,averageRating,numVotes,releaseYear
tt6763664,"The Haunting of Hill House","Drama, Horror, Mystery",8.5,298942,2018
tt1439629,Community,Comedy,8.5,298672,2009
tt1586680,Shameless,"Comedy, Drama",8.5,298241,2011
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,283128,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,266109,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,261081,2010
tt0436992,"Doctor Who","Adventure, Drama, Sci-Fi",8.5,252166,2005
tt1839578,"Person of Interest","Action, Crime, Drama",8.5,193082,2011
tt3230854,"The Expanse","Drama, Mystery, Sci-Fi",8.5,176996,2015
tt4179452,"The Last Kingdom","Action, Drama, History",8.5,171870,2015
tt2575988,"Silicon Valley",Comedy,8.5,169550,2014
tt0487831,"The IT Crowd",Comedy,8.5,167123,2006
tt3526078,"Schitt's Creek",Comedy,8.5,151837,2015
tt1758429,"Spartacus: Gods of the Arena","Action, Adventure, Biography",8.5,147653,2011
tt12343534,"Jujutsu Kaisen","Action, Adventure, Animation",8.5,133091,2020
tt0290978,"The Office","Comedy, Drama",8.5,125318,2001
tt5189670,"Making a Murderer","Crime, Documentary",8.5,104218,2015
tt6077448,"Sacred Games","Action, Crime, Drama",8.5,94149,2018
tt0112159,"Neon Genesis Evangelion","Action, Animation, Drama",8.5,90427,1995
tt3502248,Bosch,"Crime, Drama",8.5,85830,2014
tt1492966,Louie,"Comedy, Drama",8.5,82875,2010
tt10638036,Heartstopper,"Drama, Romance",8.5,82244,2022
tt0314979,"Battlestar Galactica","Action, Adventure, Drama",8.5,81461,2003
tt0421357,"Fullmetal Alchemist","Action, Adventure, Animation",8.5,79470,2003
tt4093826,"Twin Peaks","Crime, Drama, Horror",8.5,78180,2017
tt0088509,"Dragon Ball","Action, Adventure, Animation",8.5,68594,1986
tt11912196,"Asur: Welcome to Your Dark Side","Crime, Drama, Mystery",8.5,67047,2020
tt0863046,"Flight of the Conchords","Comedy, Music, Musical",8.5,66897,2007
tt3428912,"Happy Valley","Crime, Drama, Thriller",8.5,66630,2014
tt0280249,"Dragon Ball","Action, Adventure, Animation",8.5,66628,1995
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65196,1972
tt7120662,"Derry Girls",Comedy,8.5,64191,2018
tt1710308,"Regular Show","Action, Adventure, Animation",8.5,61625,2010
tt0278238,"Samurai Jack","Action, Adventure, Animation",8.5,61184,2001
tt0187664,Spaced,Comedy,8.5,58406,1999
tt0423731,"Samurai Champloo","Action, Adventure, Animation",8.5,57115,2004
tt2937900,"The Knick","Drama, History",8.5,53340,2014
tt0275137,"Justice League","Action, Adventure, Animation",8.5,52950,2001
tt8289930,"Formula 1: Drive to Survive","Documentary, Sport",8.5,52734,2019
tt0290988,"Trailer Park Boys","Comedy, Crime",8.5,52212,2001
tt0402711,"Boston Legal","Comedy, Crime, Drama",8.5,50821,2004
tt0163507,"Whose Line Is It Anyway?","Comedy, Game-Show",8.5,46999,1998
tt3895150,"Your Lie in April","Animation, Comedy, Drama",8.5,40032,2014
tt2359704,"JoJo's Bizarre Adventure","Action, Adventure, Animation",8.5,37968,2012
tt0373732,"The Boondocks","Action, Animation, Comedy",8.5,36890,2005
tt12714854,"Mumbai Diaries","Drama, Thriller",8.5,30854,2021
tt1526318,Borgen,Drama,8.5,30542,2010
tt11301642,Ethos,"Drama, Thriller",8.5,30053,2020
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29557,2009
tt0043208,"I Love Lucy",Comedy,8.5,29424,1951
tt10802170,"The Rehearsal","Comedy, Documentary",8.5,27159,2022
tt9398466,"Delhi Crime","Crime, Drama",8.5,26859,2019
tt0075520,"Jesus of Nazareth","Biography, Drama, History",8.5,25378,1977
tt16296870,"The Railway Men","Drama, History, Thriller",8.5,25133,2023
tt1353056,"RuPaul's Drag Race","Game-Show, Reality-TV",8.5,23916,2009
tt0088727,"Anne of Green Gables","Drama, Family",8.5,23150,1985
tt0262985,"Queer as Folk","Drama, Romance",8.5,22822,2000
tt9522300,"Kaguya-sama: Love is War","Animation, Comedy, Romance",8.5,21884,2019
tt11407524,"Hostel Daze","Comedy, Drama",8.5,21472,2019
tt2674806,"Inside No. 9","Comedy, Crime, Drama",8.5,21380,2014
tt7259746,"Queer Eye",Reality-TV,8.5,21357,2018
tt0346314,"Ghost in the Shell: Stand Alone Complex","Action, Animation, Crime",8.5,21340,2002
tt0182629,"Rurouni Kenshin","Action, Adventure, Animation",8.5,20890,1996
tt6005644,"TVF Tripling","Comedy, Drama",8.5,20735,2016
tt1094229,Heartland,"Drama, Family",8.5,20652,2007
tt0397150,"Garth Marenghi's Darkplace","Comedy, Fantasy, Horror",8.5,20493,2004
tt3673794,Kingdom,"Drama, Sport",8.5,20005,2014
tt2155025,"Please Like Me","Comedy, Drama, Romance",8.5,19982,2013
tt0047708,"Alfred Hitchcock Presents","Crime, Drama, Mystery",8.5,19626,1955
tt12074628,"Smiling Friends","Animation, Comedy, Short",8.5,19410,2020
tt0493331,"Barareh Nights",Comedy,8.5,18692,2005
tt5425186,"Horace and Pete","Comedy, Drama",8.5,17753,2016
tt0070644,"Scenes from a Marriage",Drama,8.5,17426,1973
tt4295140,"Chef's Table","Biography, Documentary",8.5,17263,2015
tt8317568,"Broken But Beautiful","Drama, Romance",8.5,17224,2018
